fieldname,required,data_type,field_length,unique
SubmittingAgencyId,TRUE,int,3,TRUE
PackageSubmissionDate,TRUE,str,10,FALSE
ReportingPeriod/MeasureDate,TRUE,str,10,FALSE
TreasuryAccountSymbolEntryID,TRUE,int,5,TRUE
TreasuryAccountSymbolLabel,FALSE,str,23,TRUE
AllocationTransferAgencyId,FALSE,int,3,TRUE
AgencyIdentifier,TRUE,int,3,TRUE
AvailabilityTypeCode,FALSE,str,1,TRUE
BeginningPeriodOfAvailability,FALSE,int,4,TRUE
ObligationAVLPeriodStartDate,FALSE,str,10,FALSE
EndingPeriodOfAvailability,FALSE,int,4,TRUE
ObligationAVLEndDate,FALSE,str,10,FALSE
MainAccountCode,TRUE,int,4,TRUE
AppropriationSubAccountCode,TRUE,int,4,FALSE
APPROPAccountExpiredStatus,TRUE,str,50,FALSE
TreasuryAccountSymbolEntryID,TRUE,int,3,FALSE
ProgramActivityCode,TRUE,int,4,TRUE
ObjectClassCode,TRUE,float,4,TRUE
ByDirectReimbursFundingSource,TRUE,str,50,TRUE
ProgramActivityName,TRUE,str,50,TRUE
ObligatedAmount,TRUE,float,100,TRUE
OBLGUndeliveredOrdersUnpaid,TRUE,float,100,TRUE
OBLGUndOrdUpd-CrFclYrRolBal,TRUE,float,100,TRUE
CHGOblgUndOrdUdCrFclYrRBlInc,TRUE,float,100,TRUE
CHGOblgUndOrdUdCrFclYrRBlDcr,TRUE,float,100,TRUE
OBLGUndOrdUnpaidNetTransBal,TRUE,float,100,TRUE
CHGOblgUnOrdUnpdTrasOthAgcyInc,TRUE,float,100,TRUE
CHGOblUnOrdUnpdTrasOthAgcyDcr,TRUE,float,100,TRUE
OBLGUndOrdUnpdPrrFclYrRecBal,TRUE,float,100,TRUE
OBLGUndOrdUpdPrFclYrUpAdjBal,TRUE,float,100,TRUE
OBLGDeliveredOrdersUnpaidTotal,TRUE,float,100,TRUE
OBLGDeliverOrdUpdCrFclYrRlBal,TRUE,float,100,TRUE
CHGOblgDelOdUpdCrFlYrRlBlInc ,TRUE,float,100,TRUE
CHGOblgDelOdUpdCrFlYrRlBalDcr,TRUE,float,100,TRUE
OBLGDelivOrdUnpaidNetTransBal,TRUE,float,100,TRUE
CHGOblgDelOdUpdTransOthAgcInc,TRUE,float,100,TRUE
CHGOblgDelOdUpdTransOthAgcDcr,TRUE,float,100,TRUE
OBLGDelivOrdersUnpdFclYrRcBal,TRUE,float,100,TRUE
OBLGDelOrdUpdPrFclYrUpAdjBal,TRUE,float,100,TRUE
OutlayAmountTotal,TRUE,float,100,TRUE
OutlaysUndeliveredOrdersPPD,TRUE,float,100,TRUE
OutlaysUndOrdPrdCrFisYrRolBal,TRUE,float,100,TRUE
CHGUndOutlOrdPrpCrFisYrRlBlIn,TRUE,float,100,TRUE
CHGUndOutlOrdPrpCrFisYrRlBlDs,TRUE,float,100,TRUE
OutlaysUndOrdPrpNetTransBal,TRUE,float,100,TRUE
CHGOutlayUndOrdPrpTransAgcyIn,TRUE,float,100,TRUE
CHGOutlayUndOrdPrpTransAgcyDcr,TRUE,float,100,TRUE
OUTLAYUndOrdPrpPrrFiYrRfCltBal,TRUE,float,100,TRUE
OUTLAYUndOrdPrpPrrFiYrUpAdjBl,TRUE,float,100,TRUE
OutlaysDeliveredOrdersPaid,TRUE,float,100,TRUE
OutlaysDelOrdPadCrFisYrRolBal,TRUE,float,100,TRUE
CHGOutlaysDlOrdPdCrFclYrRlBlIn,TRUE,float,100,TRUE
CHGOutlaysDlOrdPdCrFclYrRlBlDs,TRUE,float,100,TRUE
OutlaysDelOrdPadPrrFisYrRecBal,TRUE,float,100,TRUE
OutlaysDelOrdPadPrrFisYrUpAdBl,TRUE,float,100,TRUE
