elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Award ID,award,award,piidPrefix,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award ID,award,award,piidAwardYear,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award ID,award,award,piidAwardType,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award ID,award,award,piidAwardNumber,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award number,award,award,FainAwardNumber,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award Description,award,award,AwardDescription,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Modification/Amendment Number,award,award,AwardModAmendmentNumber,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Parent Award ID,award,award,ParentAwardIDprefix,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Parent Award ID,award,award,ParentAwardYear,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Parent Award ID,award,award,ParentAwardType,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Parent Award ID,award,award,ParentAwardNumber,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Record Type,award,award,RecordType,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Action Date,award,award,ActionDateDay,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Action Date,award,award,ActionDateMonth,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Action Date,award,award,ActionDateYear,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Type of Action,award,award,TypeOfAction,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Type of Action,award,award,ReasonForModification,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
