elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Component Treasury Account Symbol,award,financial,AllocationTransferAgencyIdentifier,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,award,financial,AgencyIdentifier,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,award,financial,BeginningPeriodOfAvailability,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,award,financial,EndingPeriodOfAvailability,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,award,financial,AvailabilityTypeCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Component Treasury Account Symbol,award,financial,MainAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award ID,award,award,ParentAwardIDprefix,,,,,,
Award ID,award,award,ParentAwardYear,,,,,,
Award ID,award,award,ParentAwardType,,,,,,
Award ID,award,award,ParentAwardNumber,,,,,,
Award number,award,award,FainAwardNumber,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Modification/Amendment Number,award,award,AwardModAmendmentNumber,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Object Class,award,financial,ObjectClass,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Obligated Amount ,award,financial,TransactionObligatedAmount,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
