elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Object Class,account,financial,objectClass,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfAllocationTransferAgencyCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfAgencyCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfBeginningPoa,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfEndingPoa,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfAvailabilityTypeCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfMainAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfSubAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Budget Authority Appropriated ,account,financial,accountBudgetAuthorityAmt,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Obligation Amount,account,financial,accountObligationAmt,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Unobligated Amount,account,financial,accountUnobligatedBalanceAmt,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Amount of Other Budgetary Resources,account,financial,accountOtherBudgetaryResourcesAmt,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Program Activity,account,financial,programActivity,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Outlay,account,financial,accountOutlayAmt,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award ID,award,award,awardId,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award Description,award,award,awardDesc,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award Modification/Amendment Number,award,award,awardModAmendment,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Parent Award ID,award,award,awardParentAwardId,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Record Type,award,award,awardRecordType,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Action Date,award,award,awardActionDate,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Type of Action,award,award,awardActionType,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Type of Transaction Code,award,award,awardTransactionTypeCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Funding Action Obligation,award,financial,awardFundingActionOblicationAmt,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Non-Federal Funding Amount,award,financial,awardNonFedFundingAmt,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Current Total Funding Obligation Amount on Award,award,financial,awardCurrentTotalFundingObligationAmt,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Current Total Value of Award,award,financial,awardCurrentTotalAwardAmt,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Potential Total Value of Award,award,financial,awardPotentialTotalAwardAmt,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Awarding Agency Name,awarding entity,award,awardingAgencyName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awarding Agency Code,awarding entity,award,awardingAgencyCode,,,,,awarding agency code = agency code from TAFS,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awarding Sub Tier  Agency Name,awarding entity,award,awardingSubTierAgencyName,,,,,,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Awarding Sub Tier  Agency Code,awarding entity,award,awardingSubTierAgencyCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Awarding Office Name,awarding entity,award,awardingOfficeName,,,,,,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Awarding Office Code,awarding entity,award,awardingOfficeCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Treasury Account Symbol (excluding Sub-Account),award,award,awardTasAgencyCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Treasury Account Symbol (excluding Sub-Account),award,award,awardTasMainAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Treasury Account Symbol (excluding Sub-Account),award,award,awardTasSubAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Funding Agency Name,funding entity,award,fundingAgencyName,,,,,,http://fedspendingtransparency.github.io/whitepapers/fundingagency/
Funding Agency Code,funding entity,award,fundingAgencyCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/fundingagency/
Funding Sub Tier Agency Name,funding entity,award,fundingSubTierAgencyName,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Funding Sub Tier Agency Code,funding entity,award,fundingSubTierAgencyCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Funding Office Name,funding entity,award,fundingOfficeName,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Funding Office Code,funding entity,award,fundingOfficeCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Awardee/Recipient Legal Business Name,recipient,sam,recipientLegalEntityName,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Legal Business DUNS Number,recipient,award,recipientDunsNumber,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Entity ID,recipient,award,recipientUniqueId,,,,,DUNS,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Parent DUNS Number,recipient,?,recipientUltimateParentUniqueId,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Ultimate Parent Legal Business Name,recipient,sam,recipeintUltimateParentLegalEntityName,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Legal Business Street Address Line 1,recipient,sam,recipientLegalEntityAddressStreet1,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Street Address Line 2,recipient,sam,recipientLegalEntityAddressStreet2,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business City,recipient,sam,recipientLegalEntitylCityName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient State,recipient,sam,recipientLegalEntityStateCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Postal Code,recipient,sam,recipientLegalEntityPostalCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Congressional District,recipient,sam,recipientLegalEntityCongresionalDistrict,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Country Code,recipient,sam,recipientLegalEntityCountryCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Country Name,recipient,sam,recipientLegalEntityCountryName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #1 First Name,recipient,sam,recipientHighCompOfficer1Name,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Hightly Compensated Officer #1 Total Compensation,recipient,sam,recipientHighCompOfficer1Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #2 First Name,recipient,sam,recipientHighCompOfficer2Name,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Hightly Compensated Officer #2 Total Compensation,recipient,sam,recipientHighCompOfficer2Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #3 First Name,recipient,sam,recipientHighCompOfficer3Name,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Hightly Compensated Officer #3 Total Compensation,recipient,sam,recipientHighCompOfficer3Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #4 First Name,recipient,sam,recipientHighCompOfficer4Name,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Hightly Compensated Officer #4 Total Compensation,recipient,sam,recipientHighCompOfficer4Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
