elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Appropriations Account,account,financial,accountTasfAllocationTransferAgencyCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfAgencyCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfBeginningPoa,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfEndingPoa,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfAvailabilityTypeCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfMainAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Appropriations Account,account,financial,accountTasfSubAccountCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Object Class,account,financial,objectClass,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Program Activity,account,financial,programActivity,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Obligation Amount,account,financial,accountObligatedAmt,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Outlay,account,financial,accountOutlayAmt,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
